movie_title,duration,gross,genres,plot_keywords,budget,title_year,imdb_score,aspect_ratio
Herbie Fully Loaded,101,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,automobile racing|car|mechanic|nascar|street racing,50000000,2005,4.7,1.85
Don't Say a Word,113,54997476,Crime|Drama|Mystery|Thriller,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,50000000,2001,6.3,2.35
Hansel & Gretel: Witch Hunters,98,55682070,Action|Fantasy|Horror,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,50000000,2013,6.1,2.35
Unfaithful,124,52752475,Drama|Thriller,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,50000000,2002,6.7,1.85
I Am Number Four,109,55092830,Action|Adventure|Sci-Fi|Thriller,based on young adult novel|good versus evil|guardian|human alien|ohio,60000000,2011,6.1,1.85
Syriana,128,50815288,Drama|Thriller,cia|hezbollah|lebanon|oil|prince,50000000,2005,7,2.35
13 Hours,144,52822418,Action|Drama|Thriller|War,based on true story|cia agent|libya|mercenary|u.s. ambassador,50000000,2016,7.4,2.35
The Book of Life,95,50150619,Adventure|Animation|Comedy|Family|Fantasy|Romance,afterlife|bullfight|bullfighting|love triangle|mexico,50000000,2014,7.3,2.35
Firewall,105,48745150,Crime|Thriller,architect|bank|cayman islands|meeting|murder,50000000,2006,5.8,2.35
Absolute Power,121,50007168,Action|Crime|Drama|Thriller,death|death of wife|murder|thief|violence,50000000,1997,6.7,2.35
G.I. Jane,125,48154732,Action|Drama|War,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,50000000,1997,5.8,2.35
The Game,129,48265581,Drama|Mystery|Thriller,birthday|falling through a glass roof|game|hitchcockian|suicide,50000000,1997,7.8,2.35
Silent Hill,132,46982632,Adventure|Horror|Mystery,gothic|police|police officer|silent hill|sleepwalking,50000000,2006,6.6,2.35
The Replacements,118,44737059,Comedy|Sport,coach|football player|misfits|strike|sumo wrestler,50000000,2000,6.5,1.85
American Reunion,113,56724080,Comedy,bikini|female female kiss|high school reunion|outdoor sex|upskirt,50000000,2012,6.7,1.85
The Negotiator,140,44484065,Action|Crime|Drama|Mystery|Thriller,hostage|innocence|murder|negotiator|police,50000000,1998,7.3,2.35
Into the Storm,89,47553512,Action|Thriller,danger|graduation|storm|teenage boy|tornado,50000000,2014,5.8,1.85
Beverly Hills Cop III,104,42610000,Action|Comedy|Crime|Thriller,california|counterfeit|counterfeit money|money|theme park,55000000,1994,5.5,1.85
Gremlins 2: The New Batch,106,41482207,Comedy|Fantasy|Horror,gremlin|horror host|hulk hogan|monster|skyscraper,50000000,1990,6.3,1.85
The Judge,141,47105085,Crime|Drama,courtroom|dysfunctional family|indiana|lawyer|trial,50000000,2014,7.4,2.35
The Peacemaker,124,41256277,Action|Thriller,nuclear explosion|nuclear weapon|russia|train|train crash,50000000,1997,5.9,2.35
Resident Evil: Apocalypse,98,50740078,Action|Horror|Sci-Fi|Thriller,cover up|monster|strong female character|strong female lead|zombie apocalypse,45000000,2004,6.2,2.35
Bridget Jones: The Edge of Reason,108,40203020,Comedy|Drama|Romance,american actress playing british character|intern|prison|six word title|thailand,40000000,2004,5.9,2.35
Out of Time,114,40905277,Crime|Drama|Romance|Thriller,cancer|florida|insurance|life insurance policy|small town,50000000,2003,6.5,2.35
On Deadly Ground,101,38590500,Action|Adventure|Thriller,environmental|murder|oil|oil spill|tribe,50000000,1994,4.4,2.35
The Adventures of Sharkboy and Lavagirl 3-D,93,39177541,Action|Adventure|Family|Fantasy,boy|bully|dream|dream sequence|planet,50000000,2005,3.5,1.85
The Beach,119,39778599,Adventure|Drama|Thriller,love|map|paradise|thailand|travel,50000000,2000,6.6,2.35
Raising Helen,119,37486138,Comedy|Drama|Romance,fashion show|female protagonist|love|pastor|queens new york city,50000000,2004,6,1.85
Ninja Assassin,99,38105077,Action|Crime|Thriller,critically bashed|kung fu|martial artist|martial arts|ninja,40000000,2009,6.4,2.35
For Love of the Game,137,35168395,Drama|Romance|Sport,baseball|baseball movie|detroit tigers|perfect game|pitcher,50000000,1999,6.5,2.35
Striptease,117,32800000,Comedy|Crime|Drama|Thriller,bouncer|breasts|congressman|private dancer|stripper,40000000,1996,4.3,1.85
Marmaduke,87,33643461,Comedy|Family,dog|great dane|rivalry|talking animal|talking cat,50000000,2010,4.2,2.35
Hereafter,129,32741596,Drama|Fantasy,death|france|near death experience|tsunami|twin brother,50000000,2010,6.5,2.35
Murder by Numbers,115,31874869,Crime|Mystery|Thriller,disposing of a dead body|high school student|murder|sociopath|teenage boy,50000000,2002,6.1,1.85
Assassins,132,30306268,Action|Crime|Thriller,assassin|floppy disk|modem|rival|russian,50000000,1995,6.3,1.85
Hannibal Rising,131,27667947,Crime|Drama|Thriller,aunt|cannibalism|faked death|medical student|revenge,50000000,2007,6.2,2.35
The Story of Us,95,27067160,Comedy|Drama|Romance,four word title|husband wife relationship|male rear nudity|marriage|summer camp,50000000,1999,5.9,1.85
The Host,125,26616999,Action|Adventure|Romance|Sci-Fi|Thriller,alien|alien creature|body snatching|desert|parasite,40000000,2013,5.9,2.35
Basic,98,26536120,Action|Crime|Drama|Mystery|Thriller,2000s|army|military crime|necklace yanked off|panama,50000000,2003,6.5,2.35
Blood Work,110,26199517,Action|Crime|Drama|Mystery|Thriller,boat|heart transplant|murder|serial killer|sister,50000000,2002,6.4,2.35
The International,118,25450527,Action|Crime|Drama|Mystery|Thriller,bank|chase|district attorney|interpol|murder,50000000,2009,6.5,2.35
Escape from L.A.,101,25407250,Action|Adventure|Sci-Fi|Thriller,escape|island|los angeles california|machismo|president's daughter,50000000,1996,5.7,2.35
The Iron Giant,90,23159305,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,boy|friend|government agent|maine|robot,70000000,1999,8,2.35
The Life Aquatic with Steve Zissou,119,24006726,Adventure|Comedy|Drama,expedition|oceanographer|sea|shark|team,50000000,2004,7.3,2.35
Free State of Jones,139,20389967,Action|Biography|Drama|History|War,american civil war|civil war|u.s. civil war,50000000,2016,6.7,1.85
The Life of David Gale,130,19593740,Crime|Drama|Thriller,activist|death|death row|murder|texas,50000000,2003,7.5,2.35
Man of the House,100,19118247,Action|Comedy,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,40000000,2005,5.4,2.35
Run All Night,114,26442251,Action|Crime|Drama|Thriller,death|drug dealer|limousine|limousine driver|one night,50000000,2015,6.6,2.35
Eastern Promises,96,17114882,Crime|Mystery|Thriller,male pubic hair|pubic hair|russian|sex scene|turkish bath,25000000,2007,7.7,1.85
Into the Blue,110,18472363,Action|Adventure|Crime|Thriller,bahamas|blood splatter|cocaine|hairy chest|shark,50000000,2005,5.8,2.35
The Messenger: The Story of Joan of Arc,158,14131298,Adventure|Biography|Drama|History|War,cathedral|dauphin|france|trial|wartime rape,390000000,1999,6.4,2.35
Your Highness,102,21557240,Adventure|Comedy|Fantasy,knight|prince|quest|rescue|thong bikini,49900000,2011,5.6,2.35
Dream House,84,21283440,Drama|Mystery|Thriller,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,55000000,2011,6,2.35
Mad City,115,10556196,Crime|Drama|Thriller,hostage|museum|natural history museum|news reporter|reporter,50000000,1997,6.2,2.35
Baby's Day Out,99,16671505,Adventure|Comedy|Crime|Drama|Family,baby|baby boy|kidnapping|kidnapping a child|taxi,50000000,1994,5.9,1.85
The Scarlet Letter,135,10400000,Drama|Romance,17th century|adultery|letter|pubic hair|swimming,50000000,1995,5.1,2.35
Fair Game,108,9528092,Biography|Drama|Thriller,bush administration|cia|interview|iraq|new york times,22000000,2010,6.8,2.35
Domino,127,10137232,Action|Biography|Crime|Drama|Thriller,bounty hunter|fbi|female bounty hunter|female nudity|reality show,50000000,2005,6,2.35
Jade,107,9795017,Crime|Drama|Thriller,blackmail|investigation|murder|panties pulled down|prostitution,50000000,1995,5.1,1.85
Gamer,95,20488579,Action|Sci-Fi|Thriller,battle|convict|death|mind control|role playing,50000000,2009,5.8,1.85
Beautiful Creatures,124,19445217,Drama|Fantasy|Romance,dream|escape|magic|magic spell|small town,60000000,2013,6.2,2.35
Death to Smoochy,109,8355815,Comedy|Crime|Drama|Thriller,children|children's tv show|money|revenge|scandal,55000000,2002,6.4,1.85
Zoolander 2,102,28837115,Comedy,chosen one|fashion|fashion model|model|retired,50000000,2016,4.8,2.35
The Big Bounce,88,6471394,Comedy|Crime,breasts|consensual sex|female nudity|judge|surfer,50000000,2004,4.9,2.35
What Planet Are You From?,87,6291602,Comedy|Sci-Fi,alien|baby|banker|pregnancy|question in title,50000000,2000,5.6,1.85
Drive Angry,104,10706786,Action|Fantasy|Thriller,baby|cult|oklahoma|sex scene|waitress,50000000,2011,5.5,1.85
Street Fighter: The Legend of Chun-Li,96,8742261,Action|Crime|Drama|Mystery|Thriller,chun li|crime fighter|gangster|mobster|rescue,18000000,2009,3.7,2.35
The One,85,43905746,Action|Sci-Fi|Thriller,fight|multiverse|police|police officer|prison,49000000,2001,5.9,2.35
The Adventures of Ford Fairlane,104,21413502,Action|Adventure|Comedy|Crime|Music|Mystery,detective|groupie|murder|music industry|rock n roll,40000000,1990,6.3,2.35
Traffic,190,124107476,Crime|Drama|Thriller,cocaine|drug smuggling|interlinked stories|judge|mexico,48000000,2000,7.6,1.85
Indiana Jones and the Last Crusade,127,197171806,Action|Adventure|Fantasy,castle|diary|holy grail|map|nazi,48000000,1989,8.3,2.35
Chappie,120,31569268,Action|Crime|Drama|Sci-Fi|Thriller,artificial intelligence|consciousness|future|mind uploading|robot,49000000,2015,6.9,2.35
The Bone Collector,118,66488090,Crime|Drama|Mystery|Thriller,new york city|police|quadriplegic|serial killer|suicide,48000000,1999,6.7,2.35
Panic Room,112,95308367,Crime|Drama|Thriller,brownstone|burglar|money|panic|panic room,48000000,2002,6.8,2.35
Three Kings,114,60652036,Action|Adventure|Comedy|Drama|War,gold|gulf war|iraq|kuwait|map,48000000,1999,7.1,2.35
Child 44,137,1206135,Crime|Drama|Thriller,child murderer|murder|sex|soviet union|woman slaps a man,50000000,2015,6.4,2.35
Rat Race,112,56607223,Adventure|Comedy,casino|locker|money|museum|race,48000000,2001,6.4,2.35
K-PAX,120,50173190,Drama|Mystery|Sci-Fi,extraterrestrial|hospital|patient|planet|science,48000000,2001,7.4,2.35
Kate & Leopold,123,47095453,Comedy|Fantasy|Romance,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,48000000,2001,6.4,1.85
Bedazzled,93,37879996,Comedy|Fantasy|Romance,contract|devil|dream|soul|wish,48000000,2000,6,2.35
The Cotton Club,123,25900000,Crime|Drama|Music,brothers hugging|jazz|jealousy|nudity|parole violation,58000000,1984,6.5,1.85
3:10 to Yuma,122,53574088,Adventure|Crime|Drama|Western,outlaw|rancher|small western town|stagecoach|train,55000000,2007,7.8,2.35
Taken 3,115,89253340,Action|Thriller,betrayal|death|final showdown|murder|on the run,48000000,2014,6,2.35
Out of Sight,123,37339525,Crime|Drama|Romance|Thriller,heist|neo noir|one last job|opposites attract|u.s. marshal,48000000,1998,7,1.85
The Cable Guy,96,60154431,Comedy|Drama|Thriller,cable guy|foreplay|friend|kissing|television,47000000,1996,6,2.35
Dick Tracy,105,103738726,Action|Comedy|Crime|Music|Romance|Thriller,crime boss|detective|dick tracy|gangster|orphan,100000000,1990,6.1,1.85
The Thomas Crown Affair,113,69304264,Crime|Romance|Thriller,art|insurance investigator|martinique|painting|trust,48000000,1999,6.8,2.35
Riding in Cars with Boys,132,29781453,Biography|Comedy|Drama,boy|college|heroin|working class|writer,48000000,2001,6.4,1.85
Happily N'Ever After,75,15519841,Adventure|Animation|Comedy|Family|Fantasy,apostrophe in title|cinderella|first of series|punctuation in title|three word title,47000000,2006,4.5,1.85
Mary Reilly,108,5600000,Drama|Horror|Romance|Thriller,19th century|butler|housemaid|laboratory|servant,47000000,1996,5.8,1.85
My Best Friend's Wedding,105,126805112,Comedy|Romance,best friend|chick flick|male female friendship|promise|wedding,46000000,1997,6.3,2.35
America's Sweethearts,102,93607673,Comedy|Romance,actor|love|movie star|press|publicist,48000000,2001,5.7,2.35
Insomnia,118,67263182,Drama|Mystery|Thriller,detective|insomnia|murder|partner|police,46000000,2002,7.2,2.35
Star Trek: First Contact,111,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,21st century|borg|borg sphere|captain|sphere,45000000,1996,7.6,2.35
Jonah Hex,81,10539414,Action|Drama|Fantasy|Thriller|Western,confederate|death|independence day|military|terrorist,47000000,2010,4.7,2.35
Courage Under Fire,116,58918501,Action|Drama|Mystery|Thriller|War,bravery|honor|medal of honor|military life|unreliable flashback,46000000,1996,6.6,1.85
Liar Liar,86,181395380,Comedy|Fantasy|Romance,birthday|birthday wish|father disappoints child|lie|workaholic,45000000,1997,6.8,1.85
The Flintstones,91,130512915,Comedy|Family|Fantasy,1000000 b.c.|box office hit|lawn mowing|product placement|stone age,45000000,1994,4.8,1.33
Taken 2,98,139852971,Action|Crime|Thriller,albanian|revenge|revenge motive|teenage daughter|vacation,45000000,2012,6.3,2.35
Scary Movie 3,84,110000082,Comedy,crop circle|farm|orchestral music score|reference to michael jackson|videotape,48000000,2003,5.5,1.85
Miss Congeniality,109,106807667,Action|Comedy|Crime|Romance,beauty pageant|fbi|female agent|pageant|undercover,45000000,2000,6.2,1.85
Journey to the Center of the Earth,93,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,cave|lost world|missing brother|mountain|venus flytrap,45000000,2008,5.8,1.85
The Princess Diaries 2: Royal Engagement,113,95149435,Comedy|Family|Romance,coronation|horse|princess|queen|side saddle,40000000,2004,5.7,1.85
The Pelican Brief,141,100768056,Crime|Drama|Mystery|Thriller,college professor|fbi|president|professor|supreme court,45000000,1993,6.5,2.35
The Client,119,92115211,Crime|Drama|Mystery|Thriller,boy|brother|lawyer|mafia|senator,45000000,1994,6.7,2.35
The Bucket List,97,93452056,Adventure|Comedy|Drama,billionaire|friend|hospital|list|mechanic,45000000,2007,7.4,1.85
Patriot Games,117,83287363,Action|Thriller,analyst|cia|ira|terrorist|terrorist attack,45000000,1992,6.9,2.35
Monster-in-Law,101,82931301,Comedy|Romance,breakdown|fight|mother in law|scheme|wedding,60000000,2005,5.5,2.35
Prisoners,153,60962878,Crime|Drama|Mystery|Thriller,child abduction|detective|investigation|police|sex offender,46000000,2013,8.1,1.85
Training Day,122,76261036,Crime|Drama|Thriller,lapd|narc|narcotics|title spoken by character|training,45000000,2001,7.7,2.35
Galaxy Quest,102,71423726,Adventure|Comedy|Sci-Fi,alien|alien race|convention|fan|general,45000000,1999,7.3,2.35
Scary Movie 2,83,71277420,Comedy,blow job|demon|exorcism|priest|professor,45000000,2001,5.2,1.85
The Muppets,103,88625922,Adventure|Comedy|Family|Musical,bel air california|book|friends who live together|the muppets|tribute band,45000000,2011,7.1,1.85
Blade,110,70001065,Action|Horror,1990s|blade|blood|vampire|vampire hunter,45000000,1998,7.1,2.35
Coach Carter,136,67253092,Drama|Sport,basketball|basketball coach|coach|contract|high school,30000000,2005,7.2,2.35
Changing Lanes,91,66790248,Drama|Thriller,car accident|feud|lawyer|revenge|road rage,45000000,2002,6.5,2.35
Anaconda,89,65557989,Action|Adventure|Horror|Thriller,amazon|anaconda|boat|jungle|snake,45000000,1997,4.6,2.35
Coyote Ugly,107,60786269,Comedy|Drama|Music|Romance,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,45000000,2000,5.6,2.35
Love Actually,129,59365105,Comedy|Drama|Romance,aging rocker|christmas|love at first sight|minister|prime minister,45000000,2003,7.7,2.35
A Bug's Life,95,162792677,Adventure|Animation|Comedy|Family|Fantasy,ant|circus|grasshopper|misunderstanding|overhearing,120000000,1998,7.2,2.35
From Hell,122,31598308,Horror|Mystery|Thriller,freemason|jack the ripper|opium|prostitute|victorian era,35000000,2001,6.8,2.35
The Specialist,110,57362581,Action|Crime|Drama|Romance|Thriller,bomb|cia|explosive|explosives expert|miami florida,45000000,1994,5.4,1.85
Tin Cup,135,53854588,Comedy|Drama|Romance|Sport,driving range|golf|golfer|tournament|winnebago,45000000,1996,6.3,2.35
Kicking & Screaming,95,52580895,Comedy|Family|Romance|Sport,book|child|slapstick comedy|soccer|suburb,45000000,2005,5.6,2.35
The Hitchhiker's Guide to the Galaxy,109,51019112,Adventure|Comedy|Sci-Fi,alien|friend|galaxy|hyperspace|spaceship,50000000,2005,6.8,2.35
Fat Albert,93,48114556,Comedy|Family|Fantasy|Romance,animated sequence|junkyard|love|party|television,26000000,2004,4.3,2.35
Resident Evil: Extinction,94,50648679,Action|Horror|Sci-Fi|Thriller,clone|convoy|crow|desert|satellite,45000000,2007,6.3,2.35
Blended,117,46280507,Comedy|Romance,blind date|children|date|daughter|son,40000000,2014,6.5,1.85
Last Holiday,112,38360195,Adventure|Comedy|Drama,chef|congressman|cook|hotel|senator,45000000,2006,6.4,2.35
The River Wild,111,46815748,Action|Adventure|Crime|Thriller,criminal|rafting|river|robber|white water rafting,45000000,1994,6.3,2.35
The Indian in the Cupboard,96,35617599,Drama|Family|Fantasy,best friend|birthday|boy|friend|magic,45000000,1995,5.9,1.85
Savages,141,47307550,Crime|Drama|Thriller,arms tied overhead|damsel in distress|dea|marijuana|southern california,45000000,2012,6.5,2.35
Cellular,94,32003620,Action|Crime|Thriller,cell phone|distress signal|family in danger|police|stealing a car,25000000,2004,6.5,2.35
Johnny English,87,27972410,Action|Adventure|Comedy,british|crown jewels|explosion|funeral|spy,35000000,2003,6.1,1.85
The Ant Bully,88,28133159,Adventure|Animation|Comedy|Family|Fantasy,ant|miniaturization|punishment|shrinking|sudden change in size,50000000,2006,5.9,1.85
Dune,177,27400000,Action|Adventure|Sci-Fi,desert planet|dune|giant worm|space travel|spice,40000000,1984,6.6,2.35
Across the Universe,133,24343673,Drama|Fantasy|Musical|Romance,anti war|liverpool|love|protest|song,45000000,2007,7.4,2.35
Revolutionary Road,119,22877808,Drama|Romance,based on novel|children|connecticut|suburb|work,35000000,2008,7.3,2.35
16 Blocks,102,36883539,Action|Crime|Drama|Thriller,alcoholic|courthouse|detective|jail|witness,52000000,2006,6.6,2.35
Babylon A.D.,101,22531698,Action|Adventure|Sci-Fi|Thriller,box office flop|convent|mercenary|new york|pregnant,70000000,2008,5.6,2.35
The Glimmer Man,91,20400913,Action|Comedy|Crime|Drama|Thriller,detective|heavy rain|murder|partner|serial killer,45000000,1996,5.3,1.85
Multiplicity,117,20101861,Comedy|Romance|Sci-Fi,clone|cloning|construction|same actor playing two characters simultaneously on screen|year 1996,45000000,1996,6,2.35
Aliens in the Attic,86,25200412,Adventure|Comedy|Family|Fantasy|Sci-Fi,alien|attic|boyfriend|mind control|nintendo ds,45000000,2009,5.4,1.85
The Pledge,124,19719930,Crime|Drama|Mystery|Thriller,nevada|pledge|police|porcupine|search,45000000,2001,6.8,2.35
The Producers,134,19377727,Comedy|Musical,accountant|money|opening night|scheme|swedish,45000000,2005,6.4,2.35
Dredd,95,13401683,Action|Sci-Fi,brutality|dark humor|female antagonist|female warrior|post apocalypse,35000000,2012,7.1,2.35
The Phantom,100,17300889,Action|Adventure|Comedy|Fantasy,ghost|new york city|phantom|skull|superhero,45000000,1996,4.9,2.35
All the Pretty Horses,220,15527125,Drama|Romance|Western,1940s|cowboy|mexico|railway station|texas,57000000,2000,5.8,2.35
Nixon,212,13560960,Biography|Drama|History,courtship|election|paranoia|president|quaker,50000000,1995,7.1,2.35
The Ghost Writer,128,15523168,Mystery|Thriller,british prime minister|death|island|memoir|writer,45000000,2010,7.2,2.35
Deep Rising,106,11146409,Action|Adventure|Horror|Sci-Fi,creature feature|hijacker|ocean|ship|shot in the leg,45000000,1998,6,2.35
Miracle at St. Anna,160,7916887,Action|Crime|Drama|Thriller|War,boy|german soldier|partisan|trapped|village,45000000,2008,6,2.35
Curse of the Golden Flower,114,6565495,Drama|Romance,china|chrysanthemum|emperor|empress|prince,45000000,2006,7,2.35
Bangkok Dangerous,99,15279680,Action|Crime|Thriller,deaf|hitman|nightclub|pickpocket|rules of profession,40000000,2008,5.4,1.85
Big Trouble,74,7262288,Comedy|Crime|Thriller,airport|fbi agent|person in a car trunk|suitcase|suitcase bomb,40000000,2002,6.5,1.85
Love in the Time of Cholera,139,4584886,Drama|Romance,19th century|colombia|love|marriage|widow,45000000,2007,6.4,2.35
Shadow Conspiracy,103,2154540,Action|Thriller,american president|assassin|conspiracy|president|white house,45000000,1997,4.9,2.35
Johnny English Reborn,101,8129455,Action|Adventure|Comedy|Crime,assassin|chinese|conspiracy|gadget|premier,45000000,2011,6.3,2.35
Argo,130,136019448,Biography|Drama|History|Thriller,1970s|cia|f word|u.s. embassy|year 1979,44500000,2012,7.7,2.35
The Fugitive,130,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,hospital|on the run|one armed man|surgeon|u.s. marshal,44000000,1993,7.8,1.85
The Bounty Hunter,110,67061228,Action|Comedy|Romance,bounty hunter|death|murder|police officer|reporter,40000000,2010,5.5,2.35
Sleepers,147,53300852,Crime|Drama|Thriller,boy|guard|kicked in the crotch|prank|sexual abuse,44000000,1996,7.5,2.35
Rambo: First Blood Part II,96,150415432,Action|Adventure|Thriller|War,1980s|mission|prison|rambo|vietnam,44000000,1985,6.4,2.35
The Juror,118,44834712,Drama|Thriller,breasts|mafia|sex scene|temple|woods,44000000,1996,5.6,2.35
Pinocchio,88,84300000,Animation|Family|Fantasy|Musical,boy|conscience|fairy|jiminy cricket|pinocchio,2600000,1940,7.5,1.37
Heaven's Gate,325,1500000,Adventure|Drama|Western,1890s|hired gun|immigrant|johnson county war|sheriff,44000000,1980,6.8,2.35
Underworld: Evolution,102,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,death|feud|forbidden love|vampire|werewolf,50000000,2006,6.8,2.35
Victor Frankenstein,110,5773519,Drama|Horror|Sci-Fi|Thriller,assistant|experiment|frankenstein|medical student|scientist,40000000,2015,6,2.35
Finding Forrester,136,51768623,Drama,basketball|mentor|new york|school|writing,43000000,2000,7.3,2.35
28 Days,103,37035515,Comedy|Drama,12 step program|box office hit|car accident|vomiting|wedding,43000000,2000,6,1.37
Unleashed,103,24520892,Action|Crime|Drama|Thriller,collar|dog|fight|fighting|piano,45000000,2005,7,2.35
The Sweetest Thing,90,24430272,Comedy|Romance,female removes her clothes|roommate|voyeur|voyeurism|wedding,43000000,2002,5.1,1.85
The Firm,154,158348400,Drama|Mystery|Thriller,bar|fbi|law|law firm|lawyer,42000000,1993,6.8,1.85
Charlie St. Cloud,99,31136950,Drama|Fantasy|Romance,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,44000000,2010,6.5,2.35
The Mechanic,93,29113588,Action|Crime|Thriller,apprentice|disobeying orders|gas station|hitman|nightclub,40000000,2011,6.6,2.35
21 Jump Street,109,138447667,Action|Comedy|Crime,narcotics|parody|police|remake|undercover cop,42000000,2012,7.2,2.35
Notting Hill,124,116006080,Comedy|Drama|Romance,actress|bookstore|friend|kiss|love,42000000,1999,7,2.35
Chicken Run,84,106793915,Adventure|Animation|Comedy|Drama|Family,chicken|escape|farm|freedom|rooster,45000000,2000,7,1.85
Along Came Polly,90,87856565,Comedy|Romance,bride|friend|honeymoon|insurance|insurance company,42000000,2004,5.9,1.85
Boomerang,117,70100000,Comedy|Drama|Romance,advertising|battle of the sexes|dating|one word title|womanizer,40000000,1992,5.4,1.85
The Heat,123,159578352,Action|Comedy|Crime,drug lord|fbi|fbi agent|hospital|shot in the crotch,43000000,2013,6.6,2.35
Cleopatra,251,57750000,Biography|Drama|History|Romance,cleopatra|egypt|epic|queen|roman empire,31115000,1963,7,2.2
Here Comes the Boom,105,45290318,Action|Comedy|Sport,claim in title|high school|mixed martial arts|ultimate fighting championship|underdog,42000000,2012,6.5,1.85
High Crimes,115,41543207,Crime|Drama|Mystery|Thriller,defense lawyer|lawyer|marine|murder|villager,42000000,2002,6.3,2.35
The Mirror Has Two Faces,122,41252428,Comedy|Drama|Romance,columbia university|lecture|marriage|professor|sex,42000000,1996,6.5,1.85
The Mothman Prophecies,119,35228696,Drama|Horror|Mystery|Thriller,car accident|death of wife|mothman|point pleasant west virginia|urban legend,32000000,2002,6.5,2.35
Brüno,81,59992760,Comedy,austrian|fame|fashion|gay lead character|mockumentary,42000000,2009,5.8,1.85
Licence to Kill,133,34667015,Action|Adventure|Thriller,drug cartel|drug lord|james bond 007|personal vendetta|vengeance,32000000,1989,6.6,2.35
Red Riding Hood,100,37652565,Fantasy|Horror|Mystery|Thriller,death|forest|love|werewolf|werewolf bite,42000000,2011,5.4,2.35
15 Minutes,120,24375436,Action|Crime|Drama|Thriller,criminal|detective|fire|homicide|media,42000000,2001,6.1,2.35
Super Mario Bros.,104,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,based on video game|dinosaur|king|mario|plumber,42000000,1993,4,1.85
Lord of War,122,24127895,Crime|Drama|Thriller,1980s|arms dealer|immorality|ukrainian|warlord,50000000,2005,7.6,2.35
Hero,80,84961,Action|Adventure|History,china|flying|king|palace|sword,31000000,2002,7.9,2.35
One for the Money,91,26404753,Action|Comedy|Crime|Romance|Thriller,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,40000000,2012,5.3,2.35
The Interview,112,6105175,Comedy,assassination attempt|communist dictatorship|dictator|exploding helicopter|finger bitten off,44000000,2014,6.6,2.35
The Warrior's Way,100,5664251,Action|Fantasy|Western,bullet time|explosion|knife throwing|throwing a knife|violence,45000000,2010,6.3,2.35
Micmacs,105,1260917,Action|Comedy|Crime,bullet|contortionist|gag humor|human cannonball|revenge,27000000,2009,7.2,2.35
8 Mile,110,116724075,Drama|Music,competition|contest|friend|self expression|white rapper,41000000,2002,7,2.35
A Knight's Tale,144,56083966,Action|Adventure|Romance,chaucer|jousting|knight|medieval times|tournament,65000000,2001,6.9,2.35
The Medallion,108,22108977,Action|Comedy|Fantasy,hong kong|interpol|medallion|ship|tough cop,41000000,2003,5.2,2.35
The Sixth Sense,107,293501675,Drama|Mystery|Thriller,able to see the dead|ghost|plot twist|psychic|surprise ending,40000000,1999,8.1,1.85
Man on a Ledge,102,18600911,Action|Crime|Thriller,detective|diamond|hotel|police|rooftop,42000000,2012,6.6,2.35
The Big Year,100,7204138,Comedy,alaska|birding|competition|migration|storm,41000000,2011,6.2,2.35
The Karate Kid,126,90800000,Action|Drama|Family|Sport,apartment|bully|fight|karate|master,8000000,1984,7.2,1.85
American Hustle,138,150117807,Crime|Drama,based on true story|con artist|drunk wife|fbi investigation|scam,40000000,2013,7.3,2.35
The Proposal,108,163947053,Comedy|Drama|Romance,alaska|deportation|father son relationship|male objectification|sitka alaska,40000000,2009,6.7,2.35
Double Jeopardy,105,116735231,Crime|Mystery|Thriller,blood|murder|sex scene|wrongful arrest|wrongful conviction,70000000,1999,6.4,2.35
Back to the Future Part II,108,118500000,Adventure|Comedy|Sci-Fi,alternate timeline|same actor playing two characters simultaneously on screen|second part|year 2015|younger version of character,40000000,1989,7.8,1.85
Lucy,89,126546825,Action|Sci-Fi|Thriller,brain capacity|drugs|fictional drug|one woman army|tough girl,40000000,2014,6.4,2.35
Fifty Shades of Grey,129,166147885,Drama|Romance,female frontal nudity|female nudity|perversion|sex scene|spanking,40000000,2015,4.1,2.35
Spy Kids 3-D: Game Over,84,111760631,Action|Adventure|Comedy|Family|Sci-Fi,mission|spy|surfing|trapped|virtual reality,38000000,2003,4.1,1.85
A Time to Kill,149,108706165,Crime|Drama|Thriller,african american|court|law|mississippi|trial,40000000,1996,7.4,2.35
Cheaper by the Dozen,94,138614544,Comedy|Family,9 year old|house|illinois|new job|vomiting,40000000,2003,5.8,1.85
